product_code,product_name,asset_class,sub_category,risk_level,amount_invested_yuan,current_value_yuan,floating_pnl_rate,holding_days
PAMMF01,平安日添利货币基金,现金类,现金类,R1,300000,298500,-0.005,210
PAMMF02,平安灵活宝现金管理,现金类,现金类,R1,200000,199000,-0.005,180
PABND01,平安中短债纯债基金,固收类,纯债,R2,600000,552000,-0.080,420
PABND02,平安信用债精选基金,固收类,纯债,R2,500000,445000,-0.110,380
PABND03,平安固收增强理财,固收类,固收+（股<20%）,R3,700000,609000,-0.130,360
PAEQ01,平安均衡配置混合,权益类,股债混合（股20–50%）,R3,600000,450000,-0.250,280
PAEQ02,平安成长精选混合,权益类,股票类,R4,900000,630000,-0.300,260
PAEQ03,平安沪深300指数增强,权益类,股票类,R4,700000,504000,-0.280,240
PAALT01,平安商品及宏观策略,另类资产,商品及宏观策略,R4,400000,336000,-0.160,200
PAALT02,平安量化对冲私募证券,另类资产,量化对冲,R5,550000,522500,-0.050,520
PAALT03,平安产业成长私募股权基金,另类资产,PE/VC 股权,R5,2200000,1870000,-0.150,760
