indicator_id,ref_month,publish_date,value,unit,adjustment,source,data_type
PMI_MANU,2024-10,2024-11-01,50.2,,Level,NBS,Growth
PMI_MANU,2024-09,2024-10-01,50.1,,Level,NBS,Growth
PMI_MANU,2024-08,2024-09-01,50.0,,Level,NBS,Growth
PMI_SERV,2024-10,2024-11-01,50.5,,Level,NBS,Growth
PMI_SERV,2024-09,2024-10-01,50.4,,Level,NBS,Growth
PMI_SERV,2024-08,2024-09-01,50.3,,Level,NBS,Growth
INDUSTRY_YOY,2024-10,2024-11-15,5.2,%,YoY,NBS,Growth
INDUSTRY_YOY,2024-09,2024-10-15,5.3,%,YoY,NBS,Growth
INDUSTRY_YOY,2024-08,2024-09-15,5.4,%,YoY,NBS,Growth
INDUSTRY_YOY,2024-07,2024-08-15,5.5,%,YoY,NBS,Growth
INDUSTRY_YOY,2024-06,2024-07-15,5.6,%,YoY,NBS,Growth
INDUSTRY_YOY,2024-05,2024-06-15,5.7,%,YoY,NBS,Growth
TSF_STOCK_YOY,2024-10,2024-11-13,7.8,%,YoY,PBOC,Credit
TSF_STOCK_YOY,2024-09,2024-10-13,7.7,%,YoY,PBOC,Credit
TSF_STOCK_YOY,2024-08,2024-09-13,7.6,%,YoY,PBOC,Credit
CPI_YOY,2024-10,2024-11-09,0.1,%,YoY,NBS,Inflation
CPI_YOY,2024-09,2024-10-09,0.2,%,YoY,NBS,Inflation
CPI_YOY,2024-08,2024-09-09,0.3,%,YoY,NBS,Inflation
CPI_YOY,2024-07,2024-08-09,0.4,%,YoY,NBS,Inflation
CPI_YOY,2024-06,2024-07-09,0.5,%,YoY,NBS,Inflation
CPI_YOY,2024-05,2024-06-09,0.6,%,YoY,NBS,Inflation
PPI_YOY,2024-10,2024-11-09,-2.5,%,YoY,NBS,Inflation
PPI_YOY,2024-09,2024-10-09,-2.6,%,YoY,NBS,Inflation
PPI_YOY,2024-08,2024-09-09,-2.7,%,YoY,NBS,Inflation
PPI_YOY,2024-07,2024-08-09,-2.8,%,YoY,NBS,Inflation
PPI_YOY,2024-06,2024-07-09,-2.9,%,YoY,NBS,Inflation
PPI_YOY,2024-05,2024-06-09,-3.0,%,YoY,NBS,Inflation
YIELD_10Y,2024-10,2024-11-29,2.20,%,Level,CHINA_BOND,Rate
YIELD_10Y,2024-09,2024-10-29,2.15,%,Level,CHINA_BOND,Rate
YIELD_10Y,2024-08,2024-09-29,2.10,%,Level,CHINA_BOND,Rate
YIELD_1Y,2024-10,2024-11-29,1.80,%,Level,CHINA_BOND,Rate
YIELD_1Y,2024-09,2024-10-29,1.78,%,Level,CHINA_BOND,Rate
YIELD_1Y,2024-08,2024-09-29,1.75,%,Level,CHINA_BOND,Rate
MLF_RATE,2024-10,2024-11-15,2.50,%,Level,PBOC,Rate
MLF_RATE,2024-09,2024-10-15,2.50,%,Level,PBOC,Rate
MLF_RATE,2024-08,2024-09-15,2.50,%,Level,PBOC,Rate
LPR_1Y,2024-10,2024-11-20,3.10,%,Level,PBOC,Rate
LPR_1Y,2024-09,2024-10-20,3.10,%,Level,PBOC,Rate
LPR_1Y,2024-08,2024-09-20,3.10,%,Level,PBOC,Rate
LPR_5Y,2024-10,2024-11-20,3.60,%,Level,PBOC,Rate
LPR_5Y,2024-09,2024-10-20,3.60,%,Level,PBOC,Rate
LPR_5Y,2024-08,2024-09-20,3.60,%,Level,PBOC,Rate
FX_CNY_MID_MONTHLY,2024-10,2024-11-01,7.1750,,Level,PBOC,FX
FX_CNY_MID_MONTHLY,2024-09,2024-10-01,7.1500,,Level,PBOC,FX
FX_CNY_MID_MONTHLY,2024-08,2024-09-01,7.1300,,Level,PBOC,FX
FX_CNY_MID_MONTHLY,2024-07,2024-08-01,7.1200,,Level,PBOC,FX
FX_CNY_MID_MONTHLY,2024-06,2024-07-01,7.1100,,Level,PBOC,FX
FX_CNY_MID_MONTHLY,2024-05,2024-06-01,7.1000,,Level,PBOC,FX
